,CharacterName,WikiLink
0,Abin Sur,Abin Sur
1,Abra Kadabra (character),Abra Kadabra (character)
2,Abby Holland,Abby Holland
3,Ace the Bat-Hound,Ace the Bat-Hound
4,Acrata,
5,Acid Master,
6,Adam Strange,Adam Strange
7,Aerie,
8,Agamemno,
9,Agent Liberty,Agent Liberty
10,Air Wave,Air Wave
11,Michael Akins,
12,Alias the Spider,Spider (DC Comics)
13,All-Star,
14,Henry Allen,
15,Nora Allen,
16,Alpha Centurion,
17,Alura,Alura (DC Comics)
18,Amazo,Amazo
19,Ambush Bug,Ambush Bug
20,Amazing-Man,Amazing-Man (DC Comics)
21,"Amethyst, Princess of Gemworld","Amethyst, Princess of Gemworld"
22,Amygdala,Amygdala (comics)
23,Anarky,Anarky
24,Andrew Bennett,I...Vampire
25,Andromeda,Laurel Gand
26,Angel O'Day,Angel and the Ape
27,Angle Man,
28,Anima,
29,Animal Man,Animal Man
30,Animal-Vegetable-Mineral Man,Animal-Vegetable-Mineral Man
31,Anti-Fate,
32,Anti-Monitor,Anti-Monitor
33,Antiope,Antiope (character)
34,Anton Arcane,Anton Arcane
35,Anthro,Anthro (comics)
36,Apache Chief,Apache Chief
37,Apparition,Phantom Girl
38,Aquagirl,Aquagirl
39,Aqualad,Aqualad
40,Aquaman,Aquaman
41,Arak,Arak (character)
42,Archer,
43,Ares,Ares (DC Comics)
44,Argus,
45,Argent,Argent (character)
46,Arion,Arion (character)
47,Arisia Rrab,Arisia Rrab
48,Amadeus Arkham,
49,Jeremiah Arkham,Jeremiah Arkham
50,Arm-Fall-Off-Boy,
51,Arrowette,Arrowette
52,Arsenal,Roy Harper (character)
53,Artemis of Bana-Mighdall,Artemis of Bana-Mighdall
54,Atlan,
55,Atlanna,
56,Atlas,
57,Atom,Atom (character)
58,Atom Man,
59,Atomic Knight,Atomic Knight
60,Atomic Skull,Atomic Skull
61,Atom-Smasher,Albert Rothstein
62,Atrocitus,Atrocitus
63,Aurakles,
64,Aya,
65,Azrael,Azrael (DC Comics)
66,Aztek,Aztek (character)
67,B'wana Beast,B'wana Beast
68,Baby-Doll,Baby-Doll (character)
69,Bad Samaritan,
70,Bane,Bane (DC Comics)
71,Baron Bedlam,Baron Bedlam
72,Baron Blitzkrieg,Baron Blitzkrieg
73,Barrage,
74,Battalion,Battalion (DC Comics)
75,Batgirl,Batgirl
76,Batman,Batman
77,Batman Jones,
78,Bat-Mite,Bat-Mite
79,Batwing,Batwing (DC Comics)
80,Batwoman,Batwoman
81,Beard Hunter,
82,Beast Boy,Beast Boy
83,Bekka,Bekka
84,Beppo,Beppo (comics)
85,Bibbo Bibbowski,Bibbo Bibbowski
86,Big Barda,Big Barda
87,Billy Numerous,
88,Bison-Black-as-Midnight-Sky,
89,Bizarro,Bizarro
90,Black Adam,Black Adam
91,Black Alice,Black Alice (comics)
92,Black Bison,
93,Black Canary,Black Canary
94,Black Condor,Black Condor
95,Black Flash,Black Flash
96,Black Hand,Black Hand (character)
97,Black Lightning,Black Lightning
98,Black Manta,Black Manta
99,Black Mask (character),Black Mask (character)
100,Black Orchid,Black Orchid (character)
101,Black Thorn,Black Thorn (comics)
102,Black Vulcan,Black Vulcan
103,Blackbriar Thorn,
104,Blackhawk,Blackhawk (DC Comics)
105,Blackout,
106,Blackrock,
107,Blackwing,
108,Blaze,Blaze and Satanus
109,Block,
110,Blok,Blok (comics)
111,Blockbuster,Blockbuster (DC Comics)
112,Bloodsport,Bloodsport (comics)
113,Blue Beetle,Blue Beetle
114,Blue Devil,Blue Devil (DC Comics)
